uts,value,time
1605099253,74,2020/11/11 12:54
1605099256,74,2020/11/11 12:54
1605099258,74,2020/11/11 12:54
1605099259,74,2020/11/11 12:54
1605099260,73,2020/11/11 12:54
1605099261,73,2020/11/11 12:54
1605099262,74,2020/11/11 12:54
1605099264,74,2020/11/11 12:54
1605099267,74,2020/11/11 12:54
1605099269,73,2020/11/11 12:54
1605099272,73,2020/11/11 12:54
1605099275,73,2020/11/11 12:54
1605099276,74,2020/11/11 12:54
1605099279,74,2020/11/11 12:54
1605099281,75,2020/11/11 12:54
1605099284,75,2020/11/11 12:54
1605099287,75,2020/11/11 12:54
1605099290,75,2020/11/11 12:54
1605099293,76,2020/11/11 12:54
1605099294,76,2020/11/11 12:54
1605099297,76,2020/11/11 12:54
1605099300,75,2020/11/11 12:55
1605099303,75,2020/11/11 12:55
1605099306,75,2020/11/11 12:55
1605099307,76,2020/11/11 12:55
1605099309,75,2020/11/11 12:55
1605099312,76,2020/11/11 12:55
1605099313,78,2020/11/11 12:55
1605099314,79,2020/11/11 12:55
1605099316,79,2020/11/11 12:55
1605099317,78,2020/11/11 12:55
1605099318,77,2020/11/11 12:55
1605099319,77,2020/11/11 12:55
1605099320,76,2020/11/11 12:55
1605099323,76,2020/11/11 12:55
1605099325,75,2020/11/11 12:55
1605099326,75,2020/11/11 12:55
1605099328,74,2020/11/11 12:55
1605099329,73,2020/11/11 12:55
1605099332,72,2020/11/11 12:55
1605099333,72,2020/11/11 12:55
1605099336,72,2020/11/11 12:55
1605099339,73,2020/11/11 12:55
1605099342,73,2020/11/11 12:55
1605099345,73,2020/11/11 12:55
1605099348,73,2020/11/11 12:55
1605099349,73,2020/11/11 12:55
1605099352,73,2020/11/11 12:55
1605099355,73,2020/11/11 12:55
1605099358,73,2020/11/11 12:55
